No.;E(HOMO);E(LUMO);He8_steric;PA;Q(B);BE(B);P-B;ΔP-A(B);ΔA−P-A(B);Q(Au);BE(Au);Au-Cl;Au-P;ΔP-A(Au);ΔA−P-A(Au);Q(Pd);BE(Pd);Pd-Cl trans;P-Pd;ΔP-A(Pd);ΔA−P-A(Pd);Q(Pt);BE(Pt);P-Pt;ΔP-A(Pt);ΔA−P-A(Pt);<(H3P)Pt(PH3);S4';;;;;
105;-0,18830;-0,05100;10,85;246,28;-0,671;36,86;1,945;-0,016;4,0;-0,301;72,51;2,317;2,285;-0,020;4,0;-1,234;32,18;2,369;2,311;0,002;0,6;-0,009;12,44;2,351;0,005;0,1;106,0;35,2;;;;;
106;-0,20950;-0,07950;12,69;229,53;-0,604;29,96;1,947;-0,006;1,2;-0,240;64,70;2,305;2,283;-0,009;1,9;-1,177;29,81;2,356;2,297;0,018;-0,5;0,063;11,66;2,339;0,020;-2,0;108,2;22,7;;;;;
107;-0,18840;-0,03937;3,23;237,05;-0,675;39,29;1,929;-0,024;5,2;-0,310;72,21;2,311;2,271;-0,021;5,0;-1,288;37,28;2,372;2,278;-0,014;3,1;-0,040;16,53;2,330;-0,008;2,1;108,3;36,1;;;;;
108;-0,24320;-0,07670;6,19;205,51;-0,606;30,02;1,921;-0,008;3,1;-0,225;62,43;2,293;2,257;-0,004;3,3;-1,171;31,73;2,349;2,258;0,013;0,0;0,065;19,25;2,295;0,010;-0,3;108,0;42,8;;;;;
109;-0,19267;-0,04659;7,29;240,08;-0,681;38,73;1,932;-0,026;4,3;-0,313;72,90;2,315;2,275;-0,024;4,4;-1,282;37,38;2,374;2,287;-0,013;2,1;-0,046;15,76;2,341;-0,006;1,1;107,6;36,4;;;;;
110;-0,19800;-0,07260;6,98;218,82;-0,616;28,95;1,959;0,004;2,3;-0,259;63,08;2,306;2,275;0,017;1,9;-1,219;35,48;2,364;2,278;0,016;-2,0;0,067;12,20;2,343;0,001;0,0;110,3;33,2;;;;;
111;-0,18600;-0,04440;10,50;243,86;-0,675;38,78;1,943;-0,020;3,4;-0,310;74,36;2,318;2,283;-0,019;3,8;-1,270;36,16;2,373;2,300;-0,008;1,3;-0,049;14,76;2,360;0,003;0,1;105,7;28,4;;;;;
112;-0,18040;-0,04600;22,90;248,87;-0,681;38,63;1,956;-0,016;2,5;-0,312;74,57;2,320;2,298;-0,014;3,1;-1,228;31,38;2,376;2,354;0,006;0,0;-0,043;11,20;2,395;0,016;-0,7;106,4;13,1;;;;;
113;-0,17640;-0,03890;15,93;245,85;-0,684;34,12;1,951;-0,010;3,5;-0,299;70,46;2,321;2,291;-0,009;2,6;-1,275;35,05;2,375;2,313;-0,004;2,9;-0,024;11,28;2,370;0,004;-0,5;105,8;20,6;;;;;
114;-0,18380;-0,04350;12,49;247,41;-0,681;35,88;1,944;-0,020;6,2;-0,313;74,03;2,320;2,285;-0,019;3,9;-1,232;35,69;2,375;2,305;-0,010;1,1;-0,056;13,67;2,362;0,002;0,2;106,7;21,1;;;;;
115;-0,19720;-0,05190;9,34;241,49;-0,672;36,41;1,937;-0,023;5,6;-0,303;70,48;2,314;2,278;-0,020;5,9;-1,259;37,61;2,368;2,294;-0,013;4,1;-0,013;11,86;2,340;0,004;1,9;107,7;28,9;;;;;
116;-0,19190;-0,06460;30,22;240,85;-0,647;31,44;1,963;-0,001;1,7;-0,275;68,41;2,316;2,298;-0,004;2,3;-1,204;31,21;2,365;2,340;0,013;-0,2;-0,015;4,82;2,396;0,032;-1,6;105,2;12,3;;;;;
117;-0,19300;-0,04420;4,26;238,58;-0,676;39,17;1,930;-0,027;4,2;-0,312;72,64;2,313;2,273;-0,025;4,1;-1,300;37,23;2,372;2,278;-0,016;2,3;-0,046;12,74;2,335;-0,006;0,6;107,5;37,1;;;;;
118;-0,19260;-0,04180;4,57;238,88;-0,676;38,80;1,928;-0,027;4,1;-0,313;72,11;2,313;2,273;-0,025;4,1;-1,298;36,53;2,372;2,278;-0,016;2,2;-0,047;12,44;2,335;-0,006;0,5;107,3;36,7;;;;;
119;-0,15480;-0,05390;24,38;252,15;-0,681;39,23;1,954;-0,017;2,6;-0,321;75,40;2,321;2,293;-0,016;3,2;-1,233;31,21;2,373;2,364;0,009;-0,2;-0,054;11,84;2,406;0,012;-0,8;105,7;15,5;;;;;
120;-0,17310;-0,04100;34,44;252,54;-0,673;33,76;1,966;-0,007;1,6;-0,295;70,81;2,325;2,310;-0,008;2,8;-1,226;29,12;2,373;2,350;0,011;-1,3;-0,032;2,54;2,429;0,024;-2,1;104,9;24,2;;;;;
121;-0,17160;-0,03850;34,61;254,48;-0,675;33,93;1,967;-0,008;1,4;-0,296;71,17;2,326;2,308;-0,008;2,7;-1,228;29,24;2,374;2,347;0,011;-1,4;-0,034;3,07;2,434;0,022;-2,3;105,0;23,9;;;;;
122;-0,15300;-0,04860;16,76;255,59;-0,678;39,01;1,955;-0,017;2,7;-0,336;76,05;2,324;2,296;-0,018;3,4;-1,245;40,63;2,375;2,337;-0,002;-1,7;-0,061;8,66;2,409;0,010;-0,5;106,2;15,2;;;;;
123;-0,15740;-0,07040;29,17;256,55;-0,682;38,26;1,955;-0,018;2,8;-0,322;76,43;2,327;2,294;-0,017;3,4;-1,176;29,47;2,374;2,412;0,009;-0,4;-0,040;5,57;2,396;0,017;-1,0;101,3;16,4;;;;;
124;-0,18220;0,02030;4,85;240,07;-0,667;38,84;1,939;-0,029;3,8;-0,302;73,47;2,315;2,275;-0,024;3,8;-1,297;38,09;2,376;2,284;-0,018;2,6;-0,044;15,84;2,345;-0,007;0,8;106,6;39,6;;;;;
125;-0,18380;-0,03650;2,92;237,31;-0,646;36,52;1,936;-0,026;3,7;-0,289;70,10;2,312;2,273;-0,021;3,7;-1,283;37,29;2,371;2,278;-0,014;2,5;-0,015;15,87;2,332;-0,007;1,1;108,6;46,0;;;;;
126;-0,17960;-0,03860;5,76;242,45;-0,664;39,29;1,937;-0,020;2,2;-0,309;72,70;2,317;2,280;-0,030;3,2;-1,255;36,52;2,371;2,296;-0,006;-0,5;-0,010;11,34;2,342;-0,009;-1,1;107,5;39,7;;;;;
127;-0,18370;-0,06300;6,21;234,38;-0,628;34,16;1,939;-0,025;3,4;-0,270;69,25;2,312;2,269;-0,019;3,5;-1,233;35,29;2,364;2,270;-0,011;1,2;0,029;12,14;2,324;0,004;-0,1;107,1;49,7;;;;;
128;-0,18650;-0,06050;7,10;240,96;-0,645;38,19;1,940;-0,011;2,2;-0,290;70,86;2,312;2,277;-0,020;4,1;-1,212;37,13;2,364;2,291;-0,010;1,0;-0,004;16,06;2,338;0,003;-0,4;107,4;41,8;;;;;
129;-0,18610;-0,06070;7,70;229,29;-0,623;32,25;1,929;-0,018;3,9;-0,244;66,08;2,307;2,267;-0,015;3,6;-1,183;38,51;2,355;2,266;-0,004;2,5;0,058;15,30;2,318;0,011;-0,1;106,9;51,5;;;;;
130;-0,17870;-0,08460;14,04;231,73;-0,641;33,77;1,938;-0,023;3,3;-0,259;68,30;2,308;2,275;-0,017;3,3;-1,210;36,21;2,362;2,286;0,007;2,1;0,021;13,21;2,334;0,004;0,3;106,8;47,6;;;;;
131;-0,18540;-0,08460;25,71;232,16;-0,630;27,32;1,953;-0,007;2,2;-0,245;65,62;2,310;2,283;-0,010;1,3;-1,171;30,57;2,356;2,294;0,010;-1,8;0,036;6,57;2,360;0,021;-3,4;105,2;65,9;;;;;
132;-0,18500;-0,08540;12,23;229,74;-0,624;31,77;1,927;-0,020;3,7;-0,245;65,55;2,306;2,265;-0,016;3,7;-1,175;37,71;2,354;2,263;-0,009;2,3;0,059;15,43;2,315;0,007;0,0;106,9;51,8;;;;;
133;-0,19490;-0,09250;12,05;220,60;-0,614;31,55;1,925;-0,020;3,5;-0,231;64,31;2,300;2,263;-0,013;3,4;-1,168;37,18;2,348;2,252;-0,001;2,0;0,076;15,37;2,306;0,010;-0,5;106,7;51,8;;;;;
134;-0,18380;-0,08480;17,99;234,59;-0,631;32,02;1,932;-0,012;4,1;-0,248;66,77;2,311;2,272;-0,008;3,8;-1,163;29,92;2,356;2,307;0,025;4,3;0,060;11,94;2,321;0,011;-0,1;106,7;43,9;;;;;
135;-0,19610;-0,06550;3,10;232,01;-0,636;34,22;1,933;-0,020;3,3;-0,284;67,10;2,311;2,270;-0,018;3,4;-1,244;35,09;2,366;2,275;-0,006;1,3;0,007;11,76;2,335;-0,003;0,6;109,1;55,8;;;;;
136;-0,19600;-0,06570;4,51;235,24;-0,632;33,80;1,938;-0,015;2,8;-0,278;67,45;2,313;2,267;-0,014;2,8;-1,217;33,33;2,363;2,285;0,001;0,1;0,025;12,07;2,333;0,000;-0,1;108,5;54,7;;;;;
137;-0,18280;0,02610;8,35;243,37;-0,679;39,31;1,941;-0,022;3,8;-0,315;74,97;2,319;2,281;-0,022;4,2;-1,298;39,41;2,379;2,294;-0,014;2,4;-0,057;15,36;2,350;-0,002;0,8;106,2;30,8;;;;;
138;-0,18130;-0,03700;2,95;239,01;-0,652;37,53;1,933;-0,025;3,6;-0,296;71,04;2,314;2,272;-0,021;3,6;-1,281;37,03;2,373;2,275;-0,016;2,2;-0,021;16,39;2,332;-0,009;0,9;108,9;36,1;;;;;
139;-0,19660;-0,05830;7,24;232,62;-0,670;38,69;1,931;-0,024;4,5;-0,300;72,09;2,311;2,274;-0,023;4,7;-1,266;42,89;2,366;2,279;-0,014;2,9;-0,022;13,60;2,332;-0,002;0,7;106,5;39,2;;;;;
140;-0,19640;-0,06280;11,94;237,84;-0,632;33,00;1,937;-0,016;2,1;-0,270;67,83;2,315;2,277;-0,014;3,2;-1,200;30,24;2,365;2,296;0,003;1,0;0,042;12,39;2,336;0,010;-1,4;107,0;35,3;;;;;
141;-0,19360;-0,06250;16,64;237,31;-0,665;35,39;1,938;-0,018;3,6;-0,290;70,91;2,314;2,280;-0,021;4,2;-1,192;35,53;2,366;2,312;0,000;0,2;0,015;14,16;2,333;0,014;-0,3;106,4;43,9;;;;;
142;-0,18460;-0,05430;27,66;244,34;-0,681;38,84;1,962;-0,017;2,2;-0,311;75,20;2,319;2,302;-0,012;2,8;-1,176;31,80;2,375;2,417;0,016;-0,6;-0,042;10,86;2,403;0,015;-1,1;103,2;6,5;;;;;
143;-0,19140;-0,05660;18,05;240,76;-0,675;36,76;1,954;-0,018;4,2;-0,303;71,87;2,316;2,301;-0,019;4,7;-1,211;33,58;2,368;2,341;0,004;1,9;-0,029;10,98;2,385;0,012;0,8;105,6;15,0;;;;;
144;-0,18190;0,02740;11,97;243,52;-0,679;38,50;1,942;-0,024;3,5;-0,312;74,86;2,320;2,282;-0,023;4,1;-1,299;39,31;2,378;2,288;-0,012;2,2;-0,054;13,54;2,359;-0,002;0,0;104,9;37,9;;;;;
145;-0,18010;-0,03820;3,41;241,92;-0,662;38,86;1,935;-0,023;3,5;-0,307;72,68;2,316;2,278;-0,019;3,6;-1,276;36,80;2,372;2,286;-0,011;1,9;-0,036;16,91;2,339;-0,007;0,8;108,3;26,1;;;;;
146;-0,18293;0,02693;4,80;240,90;-0,670;39,20;1,936;-0,028;3,6;-0,307;74,48;2,316;2,277;-0,026;3,9;-1,310;40,30;2,378;2,274;-0,022;2,8;-0,045;11,70;2,343;-0,008;0,7;106,7;38,0;;;;;
147;-0,17906;0,02503;3,70;243,50;-0,670;40,20;1,936;-0,029;4,0;-0,316;74,71;2,316;2,279;-0,023;4,1;-1,310;41,00;2,378;2,279;-0,022;3,0;-0,066;16,50;2,347;-0,011;1,1;107,7;27,3;;;;;
148;-0,18702;0,02094;5,88;237,57;-0,656;36,82;1,941;-0,026;3,3;-0,294;72,45;2,316;2,276;-0,024;3,8;-1,297;38,54;2,376;2,266;-0,018;3,0;-0,022;12,21;2,334;-0,004;0,4;106,0;58,1;;;;;
149;-0,19556;0,00096;3,40;226,80;-0,650;35,30;1,932;-0,026;3,8;-0,277;69,29;2,308;2,267;-0,019;3,8;-1,280;39,90;2,368;2,255;-0,021;3,0;-0,005;13,40;2,319;-0,008;0,8;107,6;51,3;;;;;
150;-0,19700;-0,03090;4,60;221,17;-0,668;35,96;1,907;-0,024;3,0;-0,275;69,30;2,304;2,253;-0,020;3,3;-1,223;38,48;2,363;2,257;-0,005;0,3;0,023;20,66;2,289;0,002;-0,3;106,7;59,6;;;;;
151;-0,20480;-0,05630;6,00;217,88;-0,612;30,84;1,926;-0,027;2,8;-0,230;64,72;2,303;2,261;-0,022;3,2;-1,164;32,67;2,357;2,277;0,003;0,1;0,097;14,96;2,293;0,012;-0,7;107,7;54,8;;;;;
152;-0,18960;0,00790;5,89;234,50;-0,655;36,03;1,935;-0,024;4,0;-0,285;71,40;2,314;2,273;-0,018;4,1;-1,242;37,07;2,368;2,297;-0,006;1,8;-0,022;15,62;2,335;-0,003;1,0;106,4;49,4;;;;;
153;-0,20760;-0,01510;7,67;220,15;-0,620;31,48;1,936;-0,014;3,3;-0,243;66,43;2,305;2,265;-0,006;3,4;-1,177;33,35;2,358;2,296;0,014;0,6;0,039;16,57;2,316;0,006;0,1;107,4;47,4;;;;;
154;-0,18500;0,00660;10,81;240,90;-0,661;36,74;1,948;-0,015;2,9;-0,297;73,28;2,317;2,282;-0,011;3,4;-1,215;31,64;2,371;2,348;0,016;0,6;-0,021;11,44;2,348;0,010;-0,1;105,8;29,4;;;;;
155;-0,18380;0,00420;16,69;241,72;-0,657;34,24;1,957;-0,011;2,5;-0,294;71,74;2,318;2,283;-0,009;3,1;-1,236;33,26;2,373;2,326;0,004;1,1;-0,028;8,97;2,363;0,021;-0,7;103,9;30,5;;;;;
156;-0,18370;0,00610;17,59;242,73;-0,667;36,61;1,951;-0,015;2,9;-0,297;73,58;2,319;2,285;-0,009;3,5;-1,207;33,86;2,373;2,350;0,012;0,1;-0,012;12,16;2,352;0,012;-0,4;106,4;27,9;;;;;
157;-0,18390;0,00720;10,88;242,70;-0,661;36,76;1,949;-0,016;3,0;-0,299;73,41;2,320;2,285;-0,010;3,4;-1,217;31,72;2,371;2,344;0,018;0,8;-0,038;13,78;2,361;0,010;0,2;106,5;28,7;;;;;
158;-0,19020;-0,05050;10,53;238,24;-0,650;35,34;1,946;-0,017;3,1;-0,285;71,31;2,315;2,279;-0,012;3,5;-1,196;32,34;2,367;2,340;0,015;1,0;-0,002;11,22;2,344;0,009;0,0;106,1;39,4;;;;;
159;-0,18100;-0,05100;8,34;241,44;-0,658;36,13;1,942;-0,020;3,8;-0,307;71,00;2,317;2,280;-0,020;3,9;-1,294;35,67;2,375;2,276;-0,014;2,0;-0,052;9,09;2,348;-0,001;2,8;107,6;34,4;;;;;
160;-0,18070;-0,05200;22,40;248,77;-0,652;33,78;1,947;-0,016;2,7;-0,295;72,49;2,328;2,286;-0,019;3,3;-1,248;32,75;2,376;2,311;0,000;0,8;-0,036;7,19;2,375;0,009;-0,5;105,6;31,9;;;;;
161;-0,17970;-0,05020;19,15;250,71;-0,687;35,80;1,949;-0,019;6,4;-0,295;72,89;2,325;2,285;-0,019;3,3;-1,255;29,75;2,376;2,348;0,002;4,0;-0,052;8,97;2,382;0,004;1,9;106,0;17,2;;;;;
162;-0,17250;-0,05190;45,88;253,20;-0,658;31,54;1,961;-0,005;1,8;-0,291;70,73;2,329;2,298;-0,007;2,6;-1,187;22,54;2,380;2,366;0,025;-0,8;-0,034;-0,42;2,395;0,033;-1,8;103,1;19,0;;;;;
163;-0,17660;-0,05130;20,79;250,17;-0,651;33,18;1,950;-0,016;2,4;-0,299;71,61;2,328;2,284;-0,018;3,4;-1,249;34,17;2,376;2,305;0,001;0,8;-0,057;8,17;2,384;0,010;3,5;106,9;28,2;;;;;
164;-0,17840;-0,05230;21,37;253,87;-0,651;35,65;1,949;-0,026;4,8;-0,297;74,56;2,327;2,286;-0,027;5,8;-1,253;34,81;2,375;2,305;-0,011;3,4;-0,056;10,38;2,387;-0,001;5,9;107,7;25,2;;;;;
165;-0,18520;-0,05720;13,64;245,32;-0,634;32,57;1,950;-0,013;2,8;-0,280;69,04;2,317;2,280;-0,012;3,1;-1,202;28,01;2,367;2,303;0,004;0,1;0,016;12,21;2,343;0,009;0,0;107,6;35,1;;;;;
166;-0,17200;-0,04960;42,99;253,60;-0,659;32,09;1,959;-0,005;1,8;-0,292;71,62;2,329;2,296;-0,009;2,5;-1,188;22,37;2,378;2,365;0,023;-0,8;-0,033;-0,35;2,397;0,032;-1,8;101,9;19,7;;;;;
167;-0,18000;-0,04760;23,48;251,03;-0,654;33,61;1,948;-0,013;2,7;-0,298;72,05;2,328;2,285;-0,016;3,5;-1,238;28,17;2,375;2,312;0,007;0,8;-0,042;5,64;2,385;0,014;-0,5;104,3;32,2;;;;;
168;-0,17090;-0,04980;43,72;256,40;-0,658;33,90;1,958;-0,001;1,7;-0,294;75,66;2,336;2,297;-0,011;2,3;-1,178;25,43;2,379;2,381;0,025;-1,0;-0,045;1,52;2,436;0,028;2,1;105,1;14,2;;;;;
169;-0,16350;-0,05050;26,05;250,07;-0,652;31,04;1,948;-0,029;4,8;-0,291;75,70;2,326;2,282;-0,023;3,8;-1,229;27,11;2,376;2,325;-0,011;2,7;-0,029;9,77;2,364;0,010;-0,4;103,9;37,9;;;;;
170;-0,16380;-0,05270;16,22;246,81;-0,639;33,09;1,950;-0,012;2,6;-0,286;70,20;2,322;2,281;-0,014;3,1;-1,202;26,86;2,368;2,303;0,011;-0,3;-0,008;7,46;2,360;0,003;2,4;108,7;32,0;;;;;
171;-0,16060;-0,04490;31,68;255,90;-0,663;30,79;1,946;-0,017;2,4;-0,302;70,71;2,334;2,287;-0,019;3,1;-1,214;24,27;2,376;2,359;0,006;-0,1;-0,043;1,44;2,383;0,015;-0,4;103,1;36,5;;;;;
172;-0,16570;-0,03810;47,90;258,49;-0,665;32,70;1,962;-0,006;1,7;-0,305;72,79;2,337;2,297;-0,009;2,6;-1,188;19,04;2,378;2,400;0,024;-1,0;-0,050;-0,68;2,439;0,028;2,2;105,5;14,2;;;;;
173;-0,16950;-0,03820;24,06;255,96;-0,667;34,04;1,952;-0,015;2,5;-0,313;74,96;2,338;2,287;-0,017;3,3;-1,254;29,27;2,379;2,324;0,007;0,9;-0,068;4,40;2,399;0,008;4,1;107,7;26,0;;;;;
174;-0,16460;-0,03740;48,69;260,12;-0,664;33,30;1,959;-0,007;1,8;-0,306;73,07;2,339;2,297;-0,008;2,5;-1,249;20,65;2,376;2,367;0,017;2,6;-0,057;-0,77;2,443;0,031;2,6;105,2;8,5;;;;;
175;-0,17320;-0,04760;17,96;264,08;-0,666;40,31;1,950;-0,020;2,5;-0,309;79,80;2,335;2,289;-0,022;3,4;-1,251;34,34;2,380;2,326;0,003;1,2;-0,038;11,83;2,369;0,017;-2,5;104,9;36,3;;;;;
176;-0,18040;-0,05170;28,04;246,94;-0,397;26,75;1,957;-0,003;4,1;-0,273;65,42;2,330;2,291;-0,005;2,5;-1,230;16,59;2,375;2,308;0,014;2,5;0,018;0,57;2,389;0,022;0,9;106,3;28,8;;;;;
177;-0,17850;-0,04580;29,10;249,66;-0,660;32,75;1,945;-0,010;2,2;-0,292;72,34;2,329;2,287;-0,013;2,9;-1,262;29,99;2,374;2,318;0,002;3,8;-0,025;0,64;2,371;0,022;-2,0;104,4;30,9;;;;;
178;-0,17690;-0,04570;33,23;251,23;-0,682;32,40;1,956;-0,010;5,9;-0,287;71,14;2,333;2,289;-0,011;3,1;-1,255;30,25;2,373;2,324;0,006;4,0;-0,034;2,81;2,374;0,018;2,2;105,9;20,6;;;;;
179;-0,17590;-0,05110;34,58;255,91;-0,663;34,56;1,955;-0,009;1,9;-0,293;73,78;2,332;2,298;-0,011;2,5;-1,236;24,83;2,373;2,355;0,011;2,4;-0,047;-0,38;2,411;0,026;1,2;104,6;10,6;;;;;
180;-0,18080;-0,05030;22,15;255,65;-0,660;36,82;1,946;-0,025;5,1;-0,295;76,78;2,331;2,289;-0,024;6,0;-1,237;31,29;2,381;2,313;-0,003;3,5;-0,050;8,71;2,397;0,003;5,1;106,1;28,6;;;;;
181;-0,17610;-0,04300;37,46;250,82;-0,665;33,45;1,959;-0,010;1,9;-0,305;72,70;2,328;2,297;-0,013;2,8;-1,200;24,41;2,384;2,368;0,021;-0,8;-0,044;2,56;2,396;0,024;-1,4;103,6;19,7;;;;;
182;-0,17340;-0,04310;19,85;249,28;-0,660;34,46;1,943;-0,017;2,6;-0,306;72,78;2,325;2,287;-0,017;3,6;-1,254;31,07;2,376;2,302;0,001;0,8;-0,063;8,21;2,378;0,004;3,9;107,2;28,4;;;;;
183;-0,18270;-0,04240;16,78;247,30;-0,666;35,36;1,940;-0,020;3,0;-0,310;73,62;2,329;2,283;-0,020;3,5;-1,265;28,57;2,375;2,305;0,001;2,4;-0,046;9,65;2,360;0,007;-0,3;104,5;36,5;;;;;
184;-0,17410;-0,05750;24,90;256,21;-0,676;37,14;1,961;-0,010;2,1;-0,322;74,09;2,325;2,303;-0,009;2,7;-1,239;37,46;2,375;2,354;0,000;0,8;-0,029;7,10;2,385;0,028;-0,9;105,9;-0,4;;;;;
185;-0,16500;-0,05430;25,33;249,86;-0,655;33,84;1,946;-0,016;2,4;-0,288;70,48;2,323;2,284;-0,016;3,3;-1,242;30,74;2,370;2,304;0,002;0,7;-0,031;5,42;2,371;0,015;-0,6;105,3;32,6;;;;;
186;-0,17250;-0,06470;20,42;249,13;-0,635;31,20;1,950;-0,007;1,6;-0,292;70,04;2,330;2,286;-0,008;2,5;-1,214;27,31;2,382;2,307;0,013;-0,5;0,019;6,90;2,359;0,015;-1,4;107,2;37,4;;;;;
187;-0,16790;-0,07490;29,03;260,23;-0,687;36,66;1,976;-0,002;1,1;-0,318;72,40;2,324;2,322;-0,002;2,0;-1,240;29,98;2,371;2,347;0,019;-1,6;-0,037;5,94;2,447;0,031;-2,2;105,7;-4,7;;;;;
188;-0,17480;-0,07080;15,95;254,78;-0,678;38,39;1,951;-0,015;2,4;-0,322;74,52;2,323;2,291;-0,012;3,0;-1,247;31,68;2,374;2,317;0,011;-1,1;-0,042;13,69;2,372;0,010;-1,1;107,1;18,5;;;;;
189;-0,28188;-0,03544;1,50;163,60;-0,680;31,10;1,867;-0,025;2,2;-0,262;56,86;2,269;2,213;-0,027;2,1;-1,240;37,00;2,343;2,192;-0,010;-0,4;0,026;22,50;2,234;0,006;-1,5;108,3;62,0;;;;;
190;-0,27201;-0,10870;2,20;171,90;-0,520;23,40;1,905;-0,037;1,5;-0,136;49,78;2,273;2,231;-0,040;1,0;-1,060;29,90;2,334;2,228;0,002;-2,0;0,263;22,00;2,256;0,043;-3,1;110,6;48,3;;;;;
191;-0,26760;-0,15050;3,10;168,32;-0,445;20,11;1,925;-0,041;0,9;-0,084;47,76;2,276;2,237;-0,037;0,6;-0,949;30,31;2,332;2,240;0,020;-3,1;0,393;27,05;2,269;0,086;-4,0;113,7;45,1;;;;;
192;-0,24930;-0,16570;4,12;180,29;-0,431;20,09;1,941;-0,042;0,5;-0,094;49,86;2,281;2,243;-0,042;0,3;-0,921;30,72;2,334;2,248;0,025;-3,5;0,408;27,42;2,301;0,095;-4,0;116,2;37,9;;;;;
193;-0,24125;-0,04621;1,63;181,38;-0,668;37,75;1,861;-0,028;2,0;-0,273;64,20;2,282;2,214;0,001;1,8;-1,273;43,18;2,353;2,188;-0,019;-0,1;0,006;23,90;2,237;-0,005;-1,6;107,4;60,4;;;;;
194;-0,22820;-0,02819;1,17;196,59;-0,692;38,77;1,872;-0,028;2,5;-0,289;66,66;2,288;2,228;-0,064;2,7;-1,284;41,16;2,360;2,205;-0,014;0,3;-0,001;22,12;2,251;-0,001;-1,1;107,4;55,7;;;;;
195;-0,26130;-0,01980;1,74;188,16;-0,681;32,26;1,874;-0,027;2,7;-0,272;60,10;2,280;2,224;-0,029;2,6;-1,277;36,16;2,352;2,214;-0,017;-1,2;-0,006;21,13;2,258;0,000;-2,4;108,4;56,3;;;;;
196;-0,22330;-0,02990;2,21;200,31;-0,698;38,66;1,873;-0,026;2,9;-0,295;67,41;2,290;2,232;-0,027;3,1;-1,281;41,55;2,359;2,208;-0,012;0,8;-0,012;24,71;2,262;0,001;-0,9;107,0;56,0;;;;;
197;-0,21380;-0,01180;2,53;201,42;-0,705;35,23;1,887;-0,028;3,0;-0,292;64,84;2,289;2,235;-0,029;2,9;-1,269;35,92;2,354;2,221;-0,014;0,7;-0,002;21,57;2,269;0,002;-0,5;107,5;53,9;;;;;
198;-0,21680;-0,02880;2,45;205,90;-0,696;37,60;1,882;-0,025;2,8;-0,290;67,60;2,293;2,234;-0,027;3,2;-1,238;38,98;2,360;2,228;-0,009;0,1;0,021;20,70;2,263;0,005;-0,9;107,1;54,6;;;;;
199;-0,22900;-0,07640;2,41;207,06;-0,697;38,05;1,876;-0,026;3,2;-0,291;67,30;2,292;2,233;-0,028;3,1;-1,256;39,60;2,355;2,211;-0,010;0,8;0,023;22,20;2,255;0,004;-1,0;107,1;56,2;;;;;
200;-0,25416;-0,09901;1,91;178,82;-0,544;27,48;1,892;-0,028;2,9;-0,168;54,36;2,279;2,234;0,081;1,9;-1,098;35,42;2,338;2,221;0,000;-0,1;0,194;21,89;2,259;0,021;-1,7;110,3;59,6;;;;;
201;-0,24223;-0,08417;2,37;192,24;-0,571;29,51;1,899;-0,030;2,4;-0,184;57,32;2,286;2,241;0,013;2,2;-1,127;33,62;2,344;2,236;-0,002;-0,5;0,171;20,17;2,263;0,022;-1,8;108,8;52,3;;;;;
202;-0,26000;-0,08240;2,13;186,34;-0,562;25,70;1,899;-0,038;2,0;-0,175;53,22;2,281;2,235;-0,040;1,9;-1,138;28,83;2,342;2,240;-0,017;-2,9;0,188;17,88;2,268;0,034;-1,9;110,5;46,4;;;;;
203;-0,23010;-0,07810;4,29;196,58;-0,587;27,12;1,914;-0,043;2,1;-0,195;56,84;2,287;2,245;-0,043;2,1;-1,133;28,57;2,344;2,255;-0,009;-1,1;0,161;17,07;2,278;0,028;-1,8;108,9;44,9;;;;;
204;-0,23030;-0,07840;3,73;202,65;-0,583;29,74;1,907;-0,030;2,3;-0,199;59,73;2,293;2,249;-0,034;2,6;-1,135;31,58;2,348;2,248;0,000;-1,0;0,157;18,30;2,274;0,029;-2,2;108,1;50,6;;;;;
205;-0,23772;-0,05245;1,86;188,32;-0,606;35,62;1,878;-0,020;5,7;-0,264;63,85;2,286;2,233;-0,055;5,9;-1,258;40,28;2,358;2,216;-0,010;4,2;-0,001;18,31;2,269;-0,000;1,3;108,2;58,3;;;;;
206;-0,20451;-0,01841;2,51;218,13;-0,688;41,00;1,893;-0,025;4,5;-0,304;70,80;2,300;2,248;0,008;3,9;-1,314;41,07;2,370;2,229;-0,017;2,8;-0,029;18,37;2,285;-0,002;0,6;107,4;47,1;;;;;
207;-0,23280;-0,01200;2,54;206,27;-0,708;35,08;1,885;-0,031;2,8;-0,301;65,40;2,293;2,238;-0,033;2,9;-1,249;33,17;2,356;2,228;-0,013;0,3;-0,002;22,57;2,269;0,000;-0,5;107,8;51,2;;;;;
208;-0,20090;-0,02200;3,31;223,65;-0,697;40,94;1,897;-0,026;3,7;-0,311;72,47;2,304;2,251;-0,027;3,9;-1,301;41,71;2,371;2,241;-0,016;2,0;-0,029;22,44;2,288;-0,004;0,3;106,6;47,0;;;;;
209;-0,17640;-0,00020;4,32;230,45;-0,709;37,69;1,908;-0,026;2,8;-0,313;69,86;2,302;2,252;-0,029;2,9;-1,300;37,75;2,368;2,251;-0,012;-1,2;-0,017;19,01;2,303;-0,001;-0,4;107,9;42,5;;;;;
